cohort,process,contrast,adjustment,intensity_ratio,ci_low,ci_high,robust_se,intervals,people,households,events,attenuation_percent_log_scale,converged,log_intensity_ratio
ELSA,onset,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.80599487738836,1.5391912951868,2.11904622079945,0.0815584046177995,6048,1815,1594,769,0,TRUE,0.591111618550217
ELSA,onset,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.6297916263652,1.37506140955152,1.93171063264473,0.0867111114529885,6048,1815,1594,769,-17.3671850235145,TRUE,0.488452170061109
ELSA,recovery,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,0.687239296273947,0.56884502989343,0.830275075852542,0.0964665869232742,4169,1748,1545,909,0,TRUE,-0.375072726777681
ELSA,recovery,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,0.711112814939657,0.582004733618304,0.868861379232432,0.10222066681348,4169,1748,1545,909,9.1045105055991,TRUE,-0.34092419096457
ELSA,relapse,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.49405113141191,1.1740719694633,1.90123675663053,0.122965963430786,1509,700,656,555,0,TRUE,0.401491310630946
ELSA,relapse,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.48430640814565,1.15120643885271,1.9137883866059,0.12966180009314,1509,700,656,555,-1.62985163906002,TRUE,0.394947597923944
ELSA,death_pre,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.58355292406049,1.14010112752514,2.19948897756462,0.167629613170869,4412,1795,1575,184,0,TRUE,0.459671008642338
ELSA,death_pre,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.41044637711788,0.988903247522309,2.01168212128869,0.181155619664664,4412,1795,1575,184,-25.1842671519948,TRUE,0.343906233805582
ELSA,death_post,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.62791033317067,1.26948205299841,2.08753802118316,0.126881736305576,3879,1625,1453,465,0,TRUE,0.487297188158511
ELSA,death_post,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.65742718583627,1.28076110547036,2.14486906622626,0.131536733230337,3879,1625,1453,465,3.68754925684121,TRUE,0.505266511999059
