cohort,variable,value,n
CHARLS,raeducl,1,22028
CHARLS,raeducl,2,2795
CHARLS,raeducl,<NA>,44
CHARLS,raeducl,3,719
CHARLS,r1iwstat,1,17708
CHARLS,r1iwstat,0,7878
CHARLS,r1dressa,0,16453
CHARLS,r1dressa,<NA>,8227
CHARLS,r1dressa,1,906
CHARLS,r1batha,0,16168
CHARLS,r1batha,<NA>,8237
CHARLS,r1batha,1,1181
CHARLS,r1eata,0,16831
CHARLS,r1eata,<NA>,8224
CHARLS,r1eata,1,531
CHARLS,r1beda,0,16387
CHARLS,r1beda,<NA>,8226
CHARLS,r1beda,1,973
CHARLS,r1toilta,0,15347
CHARLS,r1toilta,<NA>,8226
CHARLS,r1toilta,1,2013
CHARLS,r1shopa,0,15886
CHARLS,r1shopa,<NA>,8064
CHARLS,r1shopa,1,1636
CHARLS,r1mealsa,0,15939
CHARLS,r1mealsa,<NA>,8050
CHARLS,r1mealsa,1,1597
CHARLS,r1medsa,0,16298
CHARLS,r1medsa,<NA>,8065
CHARLS,r1medsa,1,1223
CHARLS,r1moneya,0,15254
CHARLS,r1moneya,<NA>,8084
CHARLS,r1moneya,1,2248
CHARLS,r2iwstat,1,18612
CHARLS,r2iwstat,5,441
CHARLS,r2iwstat,0,4452
CHARLS,r2iwstat,9,819
CHARLS,r2iwstat,4,1262
CHARLS,r2dressa,0,17299
CHARLS,r2dressa,<NA>,7346
CHARLS,r2dressa,1,941
CHARLS,r2batha,0,17002
CHARLS,r2batha,<NA>,7368
CHARLS,r2batha,1,1216
CHARLS,r2eata,0,17819
CHARLS,r2eata,<NA>,7346
CHARLS,r2eata,1,421
CHARLS,r2beda,0,17192
CHARLS,r2beda,<NA>,7347
CHARLS,r2beda,1,1047
CHARLS,r2toilta,0,16093
CHARLS,r2toilta,<NA>,7348
CHARLS,r2toilta,1,2145
CHARLS,r2shopa,0,16749
CHARLS,r2shopa,<NA>,7269
CHARLS,r2shopa,1,1568
CHARLS,r2mealsa,0,16622
CHARLS,r2mealsa,<NA>,7278
CHARLS,r2mealsa,1,1686
CHARLS,r2medsa,0,17418
CHARLS,r2medsa,<NA>,7244
CHARLS,r2medsa,1,924
CHARLS,r2moneya,0,16307
CHARLS,r2moneya,<NA>,7343
CHARLS,r2moneya,1,1936
CHARLS,r3iwstat,1,21097
CHARLS,r3iwstat,6,441
CHARLS,r3iwstat,4,1055
CHARLS,r3iwstat,0,627
CHARLS,r3iwstat,9,1733
CHARLS,r3iwstat,5,633
CHARLS,r3dressa,0,18957
CHARLS,r3dressa,<NA>,5394
CHARLS,r3dressa,1,1235
CHARLS,r3batha,0,18627
CHARLS,r3batha,<NA>,5419
CHARLS,r3batha,1,1540
CHARLS,r3eata,0,19660
CHARLS,r3eata,<NA>,5395
CHARLS,r3eata,1,531
CHARLS,r3beda,0,18779
CHARLS,r3beda,<NA>,5399
CHARLS,r3beda,1,1408
CHARLS,r3toilta,0,17518
CHARLS,r3toilta,1,2668
CHARLS,r3toilta,<NA>,5400
CHARLS,r3shopa,0,19055
CHARLS,r3shopa,1,1788
CHARLS,r3shopa,<NA>,4743
CHARLS,r3mealsa,0,18902
CHARLS,r3mealsa,<NA>,4740
CHARLS,r3mealsa,1,1944
CHARLS,r3medsa,0,19812
CHARLS,r3medsa,<NA>,4724
CHARLS,r3medsa,1,1050
CHARLS,r3moneya,0,18598
CHARLS,r3moneya,<NA>,4802
CHARLS,r3moneya,1,2186
CHARLS,r4iwstat,1,19816
CHARLS,r4iwstat,6,1074
CHARLS,r4iwstat,5,992
CHARLS,r4iwstat,9,3704
CHARLS,r4dressa,0,18076
CHARLS,r4dressa,1,1379
CHARLS,r4dressa,<NA>,6131
CHARLS,r4batha,0,17779
CHARLS,r4batha,1,1675
CHARLS,r4batha,<NA>,6132
CHARLS,r4eata,0,18912
CHARLS,r4eata,<NA>,6132
CHARLS,r4eata,1,542
CHARLS,r4beda,0,18043
CHARLS,r4beda,<NA>,6132
CHARLS,r4beda,1,1411
CHARLS,r4toilta,0,17205
CHARLS,r4toilta,<NA>,6132
CHARLS,r4toilta,1,2249
CHARLS,r4shopa,0,17825
CHARLS,r4shopa,1,1896
CHARLS,r4shopa,<NA>,5865
CHARLS,r4mealsa,0,17467
CHARLS,r4mealsa,1,2254
CHARLS,r4mealsa,<NA>,5865
CHARLS,r4medsa,0,18567
CHARLS,r4medsa,1,1154
CHARLS,r4medsa,<NA>,5865
CHARLS,r4moneya,0,17417
CHARLS,r4moneya,1,2304
CHARLS,r4moneya,<NA>,5865
HRS,raeduc,5,8813
HRS,raeduc,1,11170
HRS,raeduc,3,12413
HRS,raeduc,4,10129
HRS,raeduc,2,2208
HRS,raeduc,<NA>,501
HRS,r2iwstat,1,19642
HRS,r2iwstat,4,1300
HRS,r2iwstat,5,226
HRS,r2iwstat,0,24043
HRS,r2iwstat,7,23
HRS,r2dressa,1,1054
HRS,r2dressa,0,18574
HRS,r2dressa,<NA>,25606
HRS,r2batha,1,985
HRS,r2batha,0,18642
HRS,r2batha,<NA>,25607
HRS,r2eata,1,225
HRS,r2eata,0,19410
HRS,r2eata,<NA>,25599
HRS,r2beda,1,999
HRS,r2beda,0,18622
HRS,r2beda,<NA>,25613
HRS,r2toilta,<NA>,37016
HRS,r2toilta,0,7925
HRS,r2toilta,1,293
HRS,r2shopa,<NA>,37242
HRS,r2shopa,0,6535
HRS,r2shopa,1,1457
HRS,r2mealsa,<NA>,37449
HRS,r2mealsa,0,7018
HRS,r2mealsa,1,767
HRS,r2medsa,0,18674
HRS,r2medsa,<NA>,25817
HRS,r2medsa,1,743
HRS,r2moneya,0,17539
HRS,r2moneya,<NA>,26370
HRS,r2moneya,1,1325
HRS,r2proxy,1,1569
HRS,r2proxy,0,18073
HRS,r2proxy,<NA>,25592
HRS,r3iwstat,5,1088
HRS,r3iwstat,1,17991
HRS,r3iwstat,4,2001
HRS,r3iwstat,6,226
HRS,r3iwstat,0,23896
HRS,r3iwstat,7,32
HRS,r3dressa,<NA>,27284
HRS,r3dressa,0,16068
HRS,r3dressa,1,1882
HRS,r3batha,<NA>,27290
HRS,r3batha,0,16562
HRS,r3batha,1,1382
HRS,r3eata,<NA>,27285
HRS,r3eata,0,17260
HRS,r3eata,1,689
HRS,r3beda,<NA>,27289
HRS,r3beda,0,16599
HRS,r3beda,1,1346
HRS,r3toilta,<NA>,27290
HRS,r3toilta,0,16886
HRS,r3toilta,1,1058
HRS,r3shopa,<NA>,27908
HRS,r3shopa,0,15421
HRS,r3shopa,1,1905
HRS,r3mealsa,<NA>,28220
HRS,r3mealsa,0,15739
HRS,r3mealsa,1,1275
HRS,r3medsa,<NA>,28524
HRS,r3medsa,0,16009
HRS,r3medsa,1,701
HRS,r3moneya,<NA>,27812
HRS,r3moneya,0,16166
HRS,r3moneya,1,1256
HRS,r3proxy,<NA>,27243
HRS,r3proxy,0,16351
HRS,r3proxy,1,1640
HRS,r4iwstat,6,1312
HRS,r4iwstat,1,21384
HRS,r4iwstat,4,2173
HRS,r4iwstat,0,18774
HRS,r4iwstat,5,1345
HRS,r4iwstat,7,246
HRS,r4dressa,<NA>,23882
HRS,r4dressa,0,19160
HRS,r4dressa,1,2192
HRS,r4batha,<NA>,23884
HRS,r4batha,0,19595
HRS,r4batha,1,1755
HRS,r4eata,<NA>,23889
HRS,r4eata,0,20529
HRS,r4eata,1,816
HRS,r4beda,<NA>,23890
HRS,r4beda,0,19783
HRS,r4beda,1,1561
HRS,r4toilta,<NA>,23900
HRS,r4toilta,0,20015
HRS,r4toilta,1,1319
HRS,r4shopa,<NA>,24591
HRS,r4shopa,0,18465
HRS,r4shopa,1,2178
HRS,r4mealsa,<NA>,24943
HRS,r4mealsa,0,18781
HRS,r4mealsa,1,1510
HRS,r4medsa,<NA>,23914
HRS,r4medsa,0,20489
